NEXT MATCHES RESULTS STANDINGS#7.3 1.9 1.9 ( )
2015 2014 2013 2012 2011 2010 2009 2008 2007 2006#7.3 1.9 1.9 ( )
MLB 2014 Results & Historical Odds#7.3 1.9 1.9 ( )
We have noticed that you may be located in a different time zone. You may want to#7.3 1.9 1.9 ( )
change the time zone here to GMT +9 or click the time zone selector at the top right#7.3 1.9 1.9 ( )
corner.#7.3 1.9 1.9 ( )
MLB 2014#7.3 1.9 1.9 ( )
02 Jul 2014 1 2 B's#7.3 1.9 1.9 ( )
23:05 Baltimore Orioles - Texas Rangers 6:4 1.72 2.19 11#9.5 1.81 2.0 (0:1, 0:0, 0:3, 1:0, 0:0, 3:0, 2:0, 0:0, X:0)
23:05 Pittsburgh Pirates - Arizona Diamondbacks 5:1 1.60 2.44 12#7.5 2.02 1.82 (1:0, 2:0, 0:1, 0:0, 0:0, 0:0, 0:0, 2:0, X:0)
22:05 Washington Nationals - Colorado Rockies 4:3 1.51 2.66 12#8.5 1.92 1.92 (0:0, 0:3, 0:0, 3:0, 0:0, 0:0, 1:0, 0:0, X:0)
19:40 San Diego Padres - Cincinnati Reds 3:0 2.03 1.83 12#5.5 1.92 1.88 (3:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, X:0)
19:10 Los Angeles Dodgers - Cleveland Indians 4:5 1.74 2.17 12#7.5 1.78 2.06 (0:0, 0:0, 0:0, 0:2, 3:0, 0:0, 0:0, 1:3, 0:0)
18:10 Houston Astros - Seattle Mariners 2:5 1.97 1.89 12#8.5 1.93 1.9 (0:0, 0:0, 1:0, 0:0, 1:0, 0:4, 0:1, 0:0, 0:0)
17:10 Minnesota Twins - Kansas City Royals 0:4 2.20 1.71 12#7.5 1.95 1.87 (0:0, 0:2, 0:0, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1)
17:08 Detroit Tigers - Oakland Athletics 9:3 1.82 2.05 12#8.5 2.0 1.83 (1:2, 0:0, 1:0, 1:0, 0:0, 6:0, 0:1, 0:0, X:0)
17:05 New York Yankees - Tampa Bay Rays 3:6 1.99 1.87 12#8.5 2.0 1.8 (1:0, 0:0, 1:1, 1:1, 0:1, 0:2, 0:0, 0:0, 0:1)
16:37 Toronto Blue Jays - Milwaukee Brewers 7:4 1.83 2.04 12#9.5 1.9 1.94 (1:1, 0:0, 1:3, 2:0, 0:0, 0:0, 0:0, 0:0, 3:0)
02:15 San Francisco Giants - St.Louis Cardinals 5:0 1.87 2.00 11#7.5 1.72 2.12 (0:0, 0:0, 0:0, 3:0, 2:0, 0:0, 0:0, 0:0, X:0)
02:10 Los Angeles Dodgers - Cleveland Indians 3:10 1.73 2.17 12#6.5 2.1 1.72 (2:3, 0:0, 0:2, 1:0, 0:0, 0:2, 0:0, 0:3, 0:0)
02:10 San Diego Padres - Cincinnati Reds 8:2 1.94 1.91 12#6.5 1.79 2.06 (1:0, 1:0, 0:0, 0:0, 1:1, 0:0, 4:0, 1:0, X:1)
00:10 Chicago White Sox - Los Angeles Angels 5:7 2.45 1.59 12#9.5 1.93 1.91 (0:0, 2:3, 0:0, 0:0, 0:2, 3:1, 0:1, 0:0, 0:0)
00:10 Houston Astros - Seattle Mariners 2:13 2.15 1.75 12#7.5 1.98 1.85 (1:2, 0:1, 0:0, 0:0, 0:0, 0:7, 1:2, 0:0, 0:1)
00:10 Minnesota Twins - Kansas City Royals 10:2 2.20 1.72 12#7.5 1.81 2.02 (1:0, 0:1, 1:0, 3:0, 0:0, 5:0, 0:0, 0:1, X:0)
01 Jul 2014 1 2 B's#7.3 1.9 1.9 ( )
23:10 Atlanta Braves - New York Mets 5:4 1.54 2.57 12#7.5 1.91 1.92 (0:0, 1:0, 1:2, 3:0, 0:2, 0:0, 0:0, 0:0, X:0)
