NEXT MATCHES RESULTS STANDINGS# 1.86 1.86 7.3 4.3 1.86 1.86 1.86 1.86 (0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0)
2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006# 1.86 1.86 7.3 4.3 1.86 1.86 1.86 1.86 (0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0)
MLB 2015 Results & Historical Odds# 1.86 1.86 7.3 4.3 1.86 1.86 1.86 1.86 (0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0)
MLB 2015# 1.86 1.86 7.3 4.3 1.86 1.86 1.86 1.86 (0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0)
12 Jul 2015 1 2 B's# 1.86 1.86 7.3 4.3 1.86 1.86 1.86 1.86 (0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0)
17:10 New York Mets - Arizona Diamondbacks 5:3 1.99 1.86 14#1.95 1.85 7.5 4.0 1.85 2.0 1.82 1.98 (0:0, 1:0, 3:1, 0:1, 1:0, 0:0, 0:1, 0:0, X:0)
17:10 Tampa Bay Rays - Houston Astros 4:3 2.08 1.80 14#2.04 1.77 7.0 3.5 1.98 1.88 1.88 1.91 (0:1, 2:0, 0:0, 0:2, 2:0, 0:0, 0:0, 0:0, X:0)
02:10 Los Angeles Dodgers - Milwaukee Brewers 1:7 1.69 2.26 13#1.65 2.23 7.5 4.0 1.91 1.94 1.93 1.85 (0:0, 0:0, 0:3, 0:0, 0:0, 0:0, 0:3, 1:1, 0:0)
02:10 Seattle Mariners - Los Angeles Angels 5:0 1.88 1.97 14#1.8 2.0 7.5 4.0 2.04 1.81 2.0 1.81 (0:0, 2:0, 1:0, 0:0, 0:0, 0:0, 2:0, 0:0, X:0)
02:05 San Francisco Giants - Philadelphia Phillies 8:5 1.49 2.72 14#1.48 2.65 7.5 4.0 1.88 1.96 1.88 1.92 (0:1, 1:0, 0:0, 0:0, 0:0, 5:3, 2:0, 0:0, X:1)
01:05 Texas Rangers - San Diego Padres 5:6 1.84 2.03 14#1.79 2.02 9.0 5.0 1.9 1.97 1.89 1.9 (0:0, 1:0, 2:2, 0:0, 0:1, 1:0, 0:0, 1:0, 0:3)
